term,variant,relation_type,lang,confidence,verified_by
lợn,heo,synonym,vi,medium,"migrated from scripts/generate_multilang_queries.py SYNONYMS_VI 2026-08-18 - needs QA/BA re-verification"
heo,lợn,synonym,vi,medium,"migrated from scripts/generate_multilang_queries.py SYNONYMS_VI 2026-08-18 - needs QA/BA re-verification"
rau mùi,rau húng,synonym,vi,medium,"migrated from scripts/generate_multilang_queries.py SYNONYMS_VI 2026-08-18 - needs QA/BA re-verification"
rau mùi,ngò,synonym,vi,medium,"migrated from scripts/generate_multilang_queries.py SYNONYMS_VI 2026-08-18 - needs QA/BA re-verification"
rau húng,rau mùi,synonym,vi,medium,"migrated from scripts/generate_multilang_queries.py SYNONYMS_VI 2026-08-18 - needs QA/BA re-verification"
rau húng,ngò,synonym,vi,medium,"migrated from scripts/generate_multilang_queries.py SYNONYMS_VI 2026-08-18 - needs QA/BA re-verification"
sữa tươi,sữa tươi tiệt trùng,synonym,vi,high,"real Indexer Service synonyms API draft (data/common_data/indexer_synonyms_api.txt, id 23, 2026-08-25 - appliedRevision=0/draft, not yet live) - grounded against mart_vi_nsg_product.ndjson (137 hits)"
ký,kg,synonym,vi,high,"real Indexer Service synonyms API draft (id 22, 2026-08-25, draft not yet live) - grounded (unit abbreviation)"
kg,ký,synonym,vi,high,"real Indexer Service synonyms API draft (id 22, 2026-08-25, draft not yet live) - grounded (unit abbreviation)"
sapoche,hồng xiêm,synonym,vi,high,"real Indexer Service synonyms API draft (id 14, 2026-08-25, draft not yet live) - grounded (1 real product, dual-labeled)"
hồng xiêm,sapoche,synonym,vi,high,"real Indexer Service synonyms API draft (id 14, 2026-08-25, draft not yet live) - grounded (1 real product, dual-labeled)"
chai,lọ,synonym,vi,medium,"real Indexer Service synonyms API draft, page 2 (id 2, 2026-08-25, draft not yet live) - both grounded but 'chai' is an extremely generic container word (1,601 whole-token hits) - noise-risk flagged, same class as hộp/lon"
lọ,chai,synonym,vi,medium,"real Indexer Service synonyms API draft, page 2 (id 2, 2026-08-25, draft not yet live) - both grounded but 'chai' is an extremely generic container word (1,601 whole-token hits) - noise-risk flagged, same class as hộp/lon"
na,mãng cầu,synonym,vi,high,"real Indexer Service synonyms API draft, page 2 (id 1, 2026-08-25, draft not yet live) - one-direction only: bare 'na' also whole-token-matches 'Cá Hồi NA UY...' (Norway, unrelated homograph) - reverse direction omitted, target 'mãng cầu' cleanly grounded (11 hits)"
