tag,product_count,tag_en,tag_ko,description_vi
Việt Nam,6444,Vietnam,베트남,Sản phẩm có xuất xứ từ Việt Nam.
Hàng Nhập Khẩu,3039,Imported Goods,수입 상품,Sản phẩm được nhập khẩu từ thị trường nước ngoài.
Ăn Vặt,1040,Snacks,간식,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Ăn Vặt”."
Trung Quốc,959,China,중국,Sản phẩm có xuất xứ từ Trung Quốc.
Mỹ Phẩm,896,Cosmetics,화장품,Sản phẩm thuộc nhóm mỹ phẩm và chăm sóc sắc đẹp.
Thực Phẩm Tươi,770,Fresh Food,신선식품,Thực phẩm tươi sống hoặc sản phẩm cần ưu tiên độ tươi.
Gia Vị,744,Seasonings,조미료,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Gia Vị”.
Hàn Quốc,687,South Korea,한국,Sản phẩm có xuất xứ từ Hàn Quốc.
Choice L,591,Choice L,Choice L,Sản phẩm thuộc thương hiệu riêng Choice L của LOTTE.
Dụng Cụ Nhà Bếp,582,Kitchen Utensils,주방용품,"Dụng cụ dùng trong chế biến, nấu nướng hoặc phục vụ món ăn."
Đông Lạnh,491,Frozen Food,냉동식품,Thực phẩm hoặc sản phẩm được bảo quản ở trạng thái đông lạnh.
Kẹo,467,Candy,사탕,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo”.
Sữa Tắm,455,Body Wash,바디워시,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Sữa Tắm”.
Ăn Liền,426,Ready to Eat,즉석식품,Thực phẩm có thể dùng ngay hoặc chỉ cần chuẩn bị rất ít trước khi ăn.
Thái Lan,413,Thailand,태국,Sản phẩm có xuất xứ từ Thái Lan.
Đồ Chơi,360,Toys,장난감,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Đồ Chơi”.
Dầu Gội,343,Shampoo,샴푸,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Dầu Gội”.
Mì Ăn Liền,340,Instant Noodles,인스턴트 면,Các sản phẩm mì ăn liền.
Nam Giới,339,Men,남성,Sản phẩm dành cho nam giới.
Giải Khát,338,Beverages,음료,Đồ uống phục vụ nhu cầu giải khát.
Bánh Quy,336,Cookies,쿠키,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Quy”.
Nước Ngọt,302,Soft Drinks,탄산음료,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Ngọt”.
Cà Phê,278,Coffee,커피,Sản phẩm cà phê thuộc nhóm hoặc cách chế biến “Cà Phê”.
Sữa Nước,277,Liquid Milk,액상 우유,Sản phẩm sữa hoặc đồ uống từ sữa thuộc nhóm “Sữa Nước”.
Đồ Khô,277,Dry Goods,건조식품,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Đồ Khô”."
Gia Dụng,263,Household Goods,생활용품,Sản phẩm phục vụ sinh hoạt và sử dụng trong gia đình.
Rau Củ Tươi,210,Fresh Vegetables,신선 채소,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Rau Củ Tươi”."
Nước Giặt,208,Laundry Detergent,액체 세탁세제,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Nước Giặt”."
Hải Sản,207,Seafood,해산물,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Hải Sản”.
Ẩm Thực Hàn Quốc,204,Korean Food,한식,"Món ăn, nguyên liệu hoặc sản phẩm mang phong cách ẩm thực Hàn Quốc."
Trái Cây,202,Fruit,과일,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Trái Cây”.
Sữa Chua,195,Yogurt,요거트,Sản phẩm sữa hoặc đồ uống từ sữa thuộc nhóm “Sữa Chua”.
