term,variant,relation_type,lang,confidence,verified_by
dứa,thơm,regional,vi,low,"EXAMPLE ONLY - placeholder seeded 2026-08-18, not verified - needs QA/BA to curate the real Bac/Trung/Nam glossary before use in a golden set"
dứa,khóm,regional,vi,low,"EXAMPLE ONLY - placeholder seeded 2026-08-18, not verified - needs QA/BA to curate the real Bac/Trung/Nam glossary before use in a golden set"
ngô,bắp,regional,vi,low,"DRAFT candidate added 2026-08-19 by Claude - common Bac/Nam pair (corn) - not verified against real product catalog, needs QA/BA confirmation before golden-set use"
lạc,đậu phộng,regional,vi,low,"DRAFT candidate added 2026-08-19 by Claude - common Bac/Nam pair (peanut) - not verified against real product catalog, needs QA/BA confirmation before golden-set use"
vừng,mè,regional,vi,low,"DRAFT candidate added 2026-08-19 by Claude - common Bac/Nam pair (sesame) - not verified against real product catalog, needs QA/BA confirmation before golden-set use"
cá quả,cá lóc,regional,vi,low,"DRAFT candidate added 2026-08-19 by Claude - common Bac/Nam pair (snakehead fish) - not verified against real product catalog, needs QA/BA confirmation before golden-set use"
dĩa,đĩa,regional,vi,high,"real Indexer Service synonyms API draft (data/common_data/indexer_synonyms_api.txt, id 21, 2026-08-25 - appliedRevision=0/draft, not yet live) - grounded against mart_vi_nsg_product.ndjson (both directions, 28/82 whole-token hits)"
ngan,vịt,regional,vi,high,"real Indexer Service synonyms API draft (id 18, 2026-08-25, draft not yet live) - one-direction only: catalog has 0 products literally named 'ngan', target 'vịt' grounded (30 hits)"
hộp,lon,regional,vi,medium,"real Indexer Service synonyms API draft (id 15, 2026-08-25, draft not yet live) - both grounded but 'hộp' is an extremely generic packaging word (1,750 whole-token hits) - noise-risk flagged, not independently verified query-by-query"
lon,hộp,regional,vi,medium,"real Indexer Service synonyms API draft (id 15, 2026-08-25, draft not yet live) - both grounded but 'hộp' is an extremely generic packaging word (1,750 whole-token hits) - noise-risk flagged, not independently verified query-by-query"
bầu,bí,regional,vi,high,"real Indexer Service synonyms API draft (id 11, 2026-08-25, draft not yet live) - grounded (10/77 whole-token hits)"
bí,bầu,regional,vi,high,"real Indexer Service synonyms API draft (id 11, 2026-08-25, draft not yet live) - grounded (10/77 whole-token hits)"
gói,bịch,regional,vi,medium,"real Indexer Service synonyms API draft (id 7, 2026-08-25, draft not yet live) - both grounded but 'gói' is an extremely generic word (2,391 whole-token hits) - noise-risk flagged"
bịch,gói,regional,vi,medium,"real Indexer Service synonyms API draft (id 7, 2026-08-25, draft not yet live) - both grounded but 'gói' is an extremely generic word (2,391 whole-token hits) - noise-risk flagged"
nồi,xoong,regional,vi,high,"real Indexer Service synonyms API draft (id 6, 2026-08-25, draft not yet live) - grounded (57/2 whole-token hits), new bare-word pair (existing REGIONAL only had 'cái xoong'->'nồi')"
xoong,nồi,regional,vi,high,"real Indexer Service synonyms API draft (id 6, 2026-08-25, draft not yet live) - grounded (57/2 whole-token hits), new bare-word pair (existing REGIONAL only had 'cái xoong'->'nồi')"
roi,mận,regional,vi,high,"real Indexer Service synonyms API draft (id 5, 2026-08-25, draft not yet live) - one-direction only: catalog's 2 'roi' whole-token hits are both unrelated homographs (pomelo cultivar name, coconut brand), target 'mận' grounded (18 hits)"
chanh leo,chanh dây,regional,vi,high,"real Indexer Service synonyms API draft (id 4, 2026-08-25, draft not yet live) - one-direction only: catalog has 0 products literally named 'chanh leo', target 'chanh dây' grounded (33 hits)"
