test_id,query,product_id,title,variant
"TX-000001","Lotte Xylitol Doraemon Sugar-Free Strawberry Flavor 9G",234484,"Lotte Xylitol Doraemon Sugar-Free Strawberry Flavor 9G",exact
"TX-000002","Lotte Xylitol Doraemon",234484,"Lotte Xylitol Doraemon Sugar-Free Strawberry Flavor 9G",partial
"TX-000003","Lotte XylitolD oraemon Sugar-Free Strawberry Flavor 9G",234484,"Lotte Xylitol Doraemon Sugar-Free Strawberry Flavor 9G",typo
"TX-000004","TEA+ Plus Tropical Peach Oolong Tea 24 Cans x 320ml",234488,"TEA+ Plus Tropical Peach Oolong Tea 24 Cans x 320ml",exact
"TX-000005","TEA+ Plus Tropical Peach",234488,"TEA+ Plus Tropical Peach Oolong Tea 24 Cans x 320ml",partial
"TX-000006","TEA+ Plus Trpoical Peach Oolong Tea 24 Cans x 320ml",234488,"TEA+ Plus Tropical Peach Oolong Tea 24 Cans x 320ml",typo
"TX-000007","Kundal White Musk Rich Perfume Body Lotion 200ml",234489,"Kundal White Musk Rich Perfume Body Lotion 200ml",exact
"TX-000008","Kundal White Musk Rich",234489,"Kundal White Musk Rich Perfume Body Lotion 200ml",partial
"TX-000009","Kundal WhiteM usk Rich Perfume Body Lotion 200ml",234489,"Kundal White Musk Rich Perfume Body Lotion 200ml",typo
"TX-000010","Playmore Frog-Shaped Fruit Gummy Candy 64G",234492,"Playmore Frog-Shaped Fruit Gummy Candy 64G",exact
"TX-000011","Playmore Frog-Shaped Fruit",234492,"Playmore Frog-Shaped Fruit Gummy Candy 64G",partial
"TX-000012","Playmore Forg-Shaped Fruit Gummy Candy 64G",234492,"Playmore Frog-Shaped Fruit Gummy Candy 64G",typo
"TX-000013","Kundal Ylang Ylang Rich Perfume Body Mist 100ml",234493,"Kundal Ylang Ylang Rich Perfume Body Mist 100ml",exact
"TX-000014","Kundal Ylang Ylang Rich",234493,"Kundal Ylang Ylang Rich Perfume Body Mist 100ml",partial
"TX-000015","Kundal Ylan gYlang Rich Perfume Body Mist 100ml",234493,"Kundal Ylang Ylang Rich Perfume Body Mist 100ml",typo
"TX-000016","Kundal Ylang Ylang Rich Perfume Body Lotion 200ml",234494,"Kundal Ylang Ylang Rich Perfume Body Lotion 200ml",exact
"TX-000017","Kundal Ylang Ylang Rich",234494,"Kundal Ylang Ylang Rich Perfume Body Lotion 200ml",partial
"TX-000018","Kundal YlangY lang Rich Perfume Body Lotion 200ml",234494,"Kundal Ylang Ylang Rich Perfume Body Lotion 200ml",typo
"TX-000019","Clear Ginger and Chamomile Herbal Shampoo 630G",234496,"Clear Ginger and Chamomile Herbal Shampoo 630G",exact
