term,variant,relation_type,lang,confidence,verified_by
Việt Nam,Vietnam,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Việt Nam,베트남,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Hàng Nhập Khẩu,Imported Goods,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Hàng Nhập Khẩu,수입 상품,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Ăn Vặt,Snacks,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Ăn Vặt,간식,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Trung Quốc,China,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Trung Quốc,중국,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Mỹ Phẩm,Cosmetics,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Mỹ Phẩm,화장품,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Thực Phẩm Tươi,Fresh Food,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
